재질,외경_mm,두께_mm,길이_m,무게_kg,생산시간_분,생산단가_원
PVC,50.8,2.77,2.96,1.737,13.65,6498
Stainless Steel 304,38.1,3.56,6.017,18.686,35.94,90207
HDPE,101.6,3.05,9.011,8.178,30.46,19383
Carbon Steel,50.8,2.77,11.994,39.137,50.71,55850
Carbon Steel,25.4,3.38,5.973,10.764,30.65,19280
Carbon Steel,25.4,1.65,5.993,5.657,24.95,11235
Stainless Steel 304,76.2,3.05,9.021,50.303,51.99,235718
Carbon Steel,25.4,3.38,6.009,10.905,28.61,17699
Copper,304.8,9.53,9.038,727.361,75.54,8742834
Stainless Steel 304,76.2,2.11,11.952,46.482,62.88,220403
Copper,50.8,1.65,11.985,27.702,58.96,343672
Copper,152.4,3.4,5.971,85.793,42.59,1038316
PVC,152.4,6.35,6.035,24.725,28.62,59814
PVC,101.6,3.05,12.033,16.059,40.12,43113
Carbon Steel,76.2,5.16,2.965,26.816,26.22,35509
Carbon Steel,50.8,3.91,11.966,53.545,49.77,72826
PVC,25.4,1.65,12.026,2.089,32.61,10971
Carbon Steel,101.6,5.74,6.035,82.587,36.33,105081
Carbon Steel,50.8,3.91,6.017,27.463,31.51,38839
HDPE,25.4,2.77,2.967,0.552,11.52,2622
Stainless Steel 316,50.8,3.91,5.963,27.288,46.27,158947
Stainless Steel 316,50.8,1.65,6.023,12.118,38.17,73204
Copper,25.4,2.77,6.022,10.41,31.25,130556
Carbon Steel,50.8,3.91,11.976,53.536,52.92,73764
PVC,152.4,3.4,6.027,13.371,23.24,33385
PVC,101.6,2.11,8.986,8.377,25.9,23540
Carbon Steel,304.8,9.53,5.964,406.357,51.53,497513
Stainless Steel 316,25.4,3.38,6.001,11.239,46.07,70156
Copper,25.4,1.65,6.006,6.612,30.35,84931
PVC,25.4,1.65,6.0,1.034,18.01,5509
Stainless Steel 304,76.2,3.05,2.995,16.901,25.85,80998
PVC,152.4,6.35,12.015,49.258,45.09,116366
Carbon Steel,76.2,2.11,9.042,34.467,36.73,48177
Stainless Steel 304,25.4,2.77,9.031,14.032,52.72,73103
PVC,38.1,2.77,5.967,2.556,20.63,9373
Carbon Steel,203.2,2.77,8.983,126.127,46.08,159169
Carbon Steel,25.4,3.38,3.001,5.526,18.34,10559
Stainless Steel 316,50.8,3.91,9.012,41.388,59.6,239173
Carbon Steel,25.4,3.38,11.992,22.371,48.65,35758
Carbon Steel,25.4,1.65,11.989,11.541,42.05,21920
Copper,38.1,3.56,9.028,31.153,44.78,382175
HDPE,25.4,3.38,5.984,1.344,18.89,5984
HDPE,38.1,3.56,8.995,3.336,28.4,10988
PVC,76.2,5.16,12.007,19.058,40.62,49173
Stainless Steel 316,38.1,2.77,3.014,7.355,26.67,44867
Stainless Steel 316,76.2,5.16,8.951,81.694,68.35,460864
Carbon Steel,38.1,3.56,11.98,36.523,47.73,52447
Galvanized Steel,25.4,2.77,12.041,18.823,54.39,39023
Stainless Steel 304,38.1,1.65,8.962,13.413,52.39,69522
Copper,25.4,2.77,9.012,15.648,47.77,196886
Carbon Steel,50.8,3.91,6.037,27.47,33.68,39044
Stainless Steel 304,25.4,3.38,5.978,11.223,34.7,56758
Stainless Steel 304,76.2,3.05,3.013,16.824,24.15,79196
Stainless Steel 304,76.2,3.05,6.002,33.712,40.15,158827
Carbon Steel,152.4,6.35,9.045,207.831,50.96,258828
Carbon Steel,38.1,3.56,9.035,27.253,43.4,38905
Carbon Steel,50.8,3.91,8.963,40.686,42.38,56689
Stainless Steel 304,50.8,3.91,6.028,27.995,42.8,133380
Galvanized Steel,38.1,1.65,11.993,17.671,49.87,35545
Copper,38.1,3.56,12.044,42.478,65.06,520501
HDPE,38.1,2.77,8.964,2.598,26.57,9175
PVC,203.2,2.77,12.004,29.499,36.4,71228
Stainless Steel 304,76.2,5.16,9.044,85.06,58.25,393138
Galvanized Steel,50.8,3.91,6.021,27.284,34.82,48030
Carbon Steel,101.6,2.11,9.016,46.576,36.73,61814
Carbon Steel,254.0,4.78,3.023,90.321,29.93,113229
Stainless Steel 304,50.8,2.77,9.004,29.77,51.45,142584
Carbon Steel,203.2,2.77,3.016,41.288,27.32,54366
Stainless Steel 316,101.6,2.11,12.0,63.486,65.49,360519
Carbon Steel,50.8,2.77,9.012,29.461,41.63,43962
Stainless Steel 316,203.2,2.77,11.955,166.051,78.85,927743
Stainless Steel 304,304.8,3.4,2.981,76.008,47.54,349895
HDPE,50.8,2.77,9.033,3.544,27.97,10094
Copper,25.4,2.77,8.99,15.89,47.08,198733
Copper,38.1,2.77,3.005,8.382,23.39,104539
Carbon Steel,101.6,3.05,6.009,43.692,29.45,57849
Copper,203.2,7.04,5.995,231.784,53.33,2791125
Carbon Steel,25.4,3.38,11.952,21.858,49.84,34727
PVC,38.1,1.65,6.02,1.591,20.13,7112
Stainless Steel 304,25.4,1.65,8.954,8.895,43.59,48226
Stainless Steel 304,101.6,5.74,5.974,83.023,47.26,382043
Stainless Steel 316,76.2,5.16,12.031,109.65,78.57,617171
Carbon Steel,25.4,2.77,5.981,9.439,28.13,17123
Stainless Steel 304,38.1,1.65,9.05,13.571,48.02,70202
HDPE,101.6,3.05,3.023,2.744,15.54,7049
Stainless Steel 316,50.8,2.77,3.007,10.007,26.36,59934
Copper,25.4,1.65,8.976,9.85,42.78,126174
Stainless Steel 304,152.4,6.35,8.977,207.861,71.66,947805
Stainless Steel 316,203.2,2.77,9.031,127.841,62.03,713853
Copper,76.2,3.05,8.968,56.704,48.03,688538
HDPE,76.2,2.11,9.003,4.186,26.35,11875
Stainless Steel 316,76.2,5.16,12.019,111.337,78.38,626971
Stainless Steel 304,38.1,3.56,12.038,36.843,61.08,177457
Carbon Steel,152.4,3.4,12.021,147.101,63.88,188221
Carbon Steel,101.6,3.05,8.961,67.618,43.4,89226
Carbon Steel,76.2,5.16,12.036,109.386,64.26,142675
PVC,203.2,2.77,11.953,29.42,43.29,72791
Stainless Steel 304,25.4,2.77,3.022,4.811,22.88,25391
Carbon Steel,101.6,3.05,2.963,21.436,22.21,29909
Stainless Steel 316,25.4,2.77,2.955,4.648,23.59,29949
Stainless Steel 304,304.8,3.4,3.05,79.32,46.9,365338
Copper,38.1,1.65,9.05,15.295,45.39,190915
PVC,25.4,2.77,11.996,3.357,32.79,13305
Stainless Steel 316,25.4,2.77,12.029,18.919,67.33,116474
Stainless Steel 304,38.1,1.65,12.017,18.066,64.21,92538
Stainless Steel 304,50.8,1.65,3.022,6.281,20.31,32413
HDPE,38.1,1.65,11.962,2.136,31.43,10368
Stainless Steel 304,25.4,2.77,3.019,4.809,21.53,25751
Carbon Steel,152.4,3.4,3.008,37.198,27.79,49292
Carbon Steel,254.0,4.78,12.005,350.374,64.7,432549
Carbon Steel,38.1,1.65,11.978,17.668,45.47,28981
Stainless Steel 304,254.0,8.56,5.957,317.623,65.55,1441009
HDPE,50.8,3.91,9.013,4.961,27.5,14066
Stainless Steel 304,38.1,2.77,5.954,14.437,33.47,71627
Carbon Steel,101.6,5.74,5.981,81.005,34.98,103927
Stainless Steel 316,101.6,3.05,9.034,67.21,61.41,381341
Carbon Steel,50.8,1.65,8.981,18.136,38.48,28183
Stainless Steel 304,101.6,5.74,2.975,40.438,33.32,187613
Stainless Steel 316,50.8,1.65,5.995,12.203,38.94,73677
PVC,25.4,2.77,5.956,1.643,20.22,6923
Stainless Steel 304,38.1,3.56,5.952,18.523,37.62,89898
HDPE,50.8,1.65,11.995,2.873,35.19,10683
Stainless Steel 304,203.2,2.77,9.006,124.946,60.4,573798
Carbon Steel,304.8,9.53,12.02,836.684,73.58,1016816
Copper,25.4,3.38,11.952,24.88,60.54,307613
Stainless Steel 304,25.4,2.77,6.017,9.495,38.94,49080
Carbon Steel,25.4,2.77,11.972,18.581,55.34,32681
Copper,25.4,2.77,9.032,15.681,47.02,197172
Stainless Steel 316,50.8,2.77,9.001,29.892,62.42,176237
Carbon Steel,203.2,2.77,8.995,122.006,44.83,153947
Stainless Steel 304,152.4,2.77,8.994,94.705,57.06,437203
Carbon Steel,101.6,5.74,3.031,40.251,26.25,53358
PVC,101.6,2.11,5.967,5.509,21.09,16291
Carbon Steel,152.4,3.4,11.973,146.571,55.72,184114
Carbon Steel,38.1,1.65,9.029,13.399,34.77,21976
Carbon Steel,38.1,1.65,5.969,8.928,25.83,16189
HDPE,101.6,3.05,12.019,10.66,38.93,26703
Stainless Steel 304,25.4,3.38,11.985,22.565,64.91,112737
PVC,38.1,3.56,5.958,3.229,20.29,11198
PVC,38.1,3.56,12.026,6.586,34.5,21288
Carbon Steel,50.8,3.91,8.996,40.742,41.87,57246
Stainless Steel 304,50.8,2.77,12.044,39.696,70.34,191415
Carbon Steel,38.1,1.65,2.958,4.408,16.7,8288
PVC,152.4,2.77,2.991,5.422,16.25,14713
PVC,76.2,3.05,9.024,8.766,29.17,24270
HDPE,254.0,8.56,9.01,56.894,38.31,108990
Stainless Steel 304,76.2,3.05,3.018,16.918,24.72,80520
Stainless Steel 316,101.6,3.05,11.975,91.783,77.04,519443
Copper,25.4,1.65,3.029,3.313,17.92,43588
PVC,101.6,2.11,2.958,2.722,14.94,8778
HDPE,203.2,2.77,5.998,9.846,25.11,21403
Stainless Steel 316,76.2,3.05,6.023,33.349,40.41,191291
Carbon Steel,38.1,3.56,11.971,36.529,55.16,53495
Stainless Steel 304,50.8,3.91,3.023,13.826,28.93,67569
Stainless Steel 316,254.0,8.56,11.987,627.723,97.61,3469319
Carbon Steel,304.8,9.53,12.025,836.722,70.92,1017019
HDPE,101.6,2.11,8.997,5.677,28.34,15460
Copper,76.2,3.05,11.987,75.209,61.67,914422
Carbon Steel,38.1,1.65,11.953,17.431,45.86,29312
Stainless Steel 316,50.8,3.91,11.995,55.816,72.47,319873
Carbon Steel,38.1,3.56,5.997,18.328,30.57,26864
Carbon Steel,38.1,2.77,6.001,14.623,29.29,21400
PVC,50.8,2.77,11.994,7.099,33.4,21921
Galvanized Steel,101.6,5.74,6.036,81.875,42.76,131260
Carbon Steel,38.1,2.77,9.007,21.88,39.9,32265
Stainless Steel 304,76.2,5.16,12.008,109.924,70.42,508292
Galvanized Steel,76.2,5.16,11.998,106.495,65.37,171586
Copper,50.8,2.77,12.034,44.72,61.61,547345
Stainless Steel 304,38.1,3.56,9.024,28.002,52.34,135172
PVC,101.6,2.11,11.999,11.062,36.07,30656
Stainless Steel 304,76.2,2.11,3.047,12.145,25.04,59229
Carbon Steel,25.4,1.65,3.039,2.956,16.2,7049
Carbon Steel,304.8,4.78,3.044,108.797,34.14,136731
Galvanized Steel,25.4,2.77,6.012,9.337,29.07,19197
Stainless Steel 304,25.4,3.38,12.039,22.598,67.4,114360
Carbon Steel,38.1,2.77,12.032,28.152,49.74,43162
PVC,25.4,2.77,12.02,3.261,33.72,13422
Copper,101.6,2.11,2.969,17.641,23.33,215572
Carbon Steel,50.8,2.77,9.008,29.672,39.15,43124
Stainless Steel 304,25.4,1.65,5.956,5.911,33.53,32245
Stainless Steel 304,38.1,1.65,9.033,13.837,43.65,69651
Carbon Steel,254.0,4.78,12.048,356.804,68.5,439990
Carbon Steel,38.1,1.65,8.982,13.252,35.3,21800
Carbon Steel,25.4,2.77,8.959,13.847,39.04,23496
PVC,25.4,1.65,5.999,1.037,18.88,5985
Stainless Steel 304,25.4,1.65,6.033,5.863,32.62,32350
Stainless Steel 304,38.1,3.56,2.99,9.358,26.06,46853
HDPE,50.8,2.77,8.974,3.617,27.49,11431
HDPE,50.8,2.77,11.993,4.756,33.14,14758
Stainless Steel 304,50.8,3.91,2.992,13.847,27.05,66100
Stainless Steel 304,50.8,3.91,3.001,13.731,26.35,67495
PVC,76.2,5.16,5.989,9.549,26.39,25101
Stainless Steel 304,152.4,6.35,2.964,68.09,41.79,314404
Carbon Steel,38.1,3.56,8.967,27.406,38.23,39180
Carbon Steel,38.1,3.56,11.967,36.318,50.18,52706
Copper,101.6,3.05,2.982,24.98,24.8,304269
PVC,101.6,2.11,3.037,2.791,15.52,9436
Stainless Steel 304,38.1,1.65,3.009,4.622,19.77,25385
Galvanized Steel,25.4,1.65,5.992,5.757,25.6,13862
Stainless Steel 316,25.4,2.77,2.96,4.622,24.66,29751
HDPE,203.2,2.77,5.974,9.83,24.51,22177
PVC,203.2,7.04,11.997,71.462,42.61,164452
Stainless Steel 304,50.8,2.77,9.048,30.957,50.71,148210
Stainless Steel 304,50.8,3.91,9.043,42.111,54.14,198776
Carbon Steel,76.2,3.05,9.002,49.44,45.61,67325
HDPE,203.2,7.04,8.987,36.991,39.4,73467
Carbon Steel,25.4,3.38,9.015,16.268,38.22,26703
Stainless Steel 304,76.2,2.11,9.029,35.421,54.97,169117
Carbon Steel,50.8,2.77,6.047,19.933,26.57,29111
Stainless Steel 304,38.1,3.56,8.965,27.286,50.64,132373
Stainless Steel 304,101.6,2.11,5.996,31.53,40.26,149130
Stainless Steel 316,38.1,3.56,6.032,18.594,40.6,109518
HDPE,38.1,2.77,6.013,1.748,21.06,7737
Carbon Steel,50.8,2.77,9.028,29.823,41.56,43570
Copper,25.4,2.77,3.048,5.356,21.09,68567
Galvanized Steel,76.2,5.16,9.015,81.668,53.28,131894
Stainless Steel 316,25.4,3.38,3.029,5.627,27.05,35968
HDPE,76.2,3.05,8.992,5.979,27.05,15757
Stainless Steel 304,76.2,3.05,3.028,16.898,27.88,80932
Carbon Steel,76.2,5.16,3.041,27.559,23.05,36774
Stainless Steel 316,50.8,3.91,3.019,13.993,29.93,81973
PVC,50.8,1.65,6.023,2.181,17.3,7778
Stainless Steel 304,25.4,1.65,9.001,8.905,46.95,47975
Stainless Steel 304,101.6,3.05,6.007,44.521,42.58,208206
Carbon Steel,101.6,5.74,5.979,81.118,36.27,103227
PVC,101.6,5.74,2.955,7.098,18.99,19327
Stainless Steel 304,38.1,1.65,12.01,17.97,64.75,93358
Stainless Steel 304,76.2,3.05,2.972,16.676,26.48,79437
Carbon Steel,101.6,2.11,3.038,15.636,20.12,22764
Carbon Steel,76.2,5.16,8.983,80.713,46.97,104367
HDPE,38.1,3.56,6.049,2.225,21.34,8722
HDPE,25.4,2.77,12.045,2.243,34.5,9952
Stainless Steel 304,38.1,3.56,6.006,18.382,38.96,90456
PVC,203.2,7.04,9.045,55.314,38.32,128957
Carbon Steel,50.8,3.91,5.963,26.8,31.56,38576
Carbon Steel,76.2,3.05,11.951,65.196,52.09,87614
Stainless Steel 316,50.8,1.65,11.981,24.23,62.76,143878
Carbon Steel,38.1,3.56,12.015,36.37,49.95,53006
Carbon Steel,38.1,1.65,6.005,8.729,26.66,15085
HDPE,76.2,5.16,5.975,6.557,25.06,16699
Stainless Steel 316,76.2,3.05,5.997,33.437,41.98,191788
Stainless Steel 304,38.1,1.65,9.037,13.695,49.25,70684
Stainless Steel 316,101.6,5.74,2.985,41.382,33.2,233485
Stainless Steel 304,38.1,3.56,9.015,27.802,53.0,135270
Carbon Steel,50.8,2.77,9.024,29.434,37.18,42211
Stainless Steel 304,101.6,2.11,11.977,63.116,69.67,296647
Stainless Steel 304,203.2,3.96,6.019,116.426,46.39,532246
Stainless Steel 304,38.1,1.65,9.0,13.629,44.83,69589
Stainless Steel 316,38.1,1.65,6.033,9.21,38.56,58519
Stainless Steel 304,76.2,3.05,11.957,67.119,63.78,312336
Carbon Steel,101.6,2.11,11.972,61.731,55.26,84310
Galvanized Steel,76.2,2.11,8.985,35.018,42.9,59825
Carbon Steel,152.4,3.4,11.957,149.62,56.82,189760
PVC,38.1,2.77,11.994,5.189,34.92,17276
Stainless Steel 316,50.8,1.65,11.962,23.953,68.31,143594
Carbon Steel,38.1,2.77,5.973,14.326,29.78,22563
PVC,50.8,3.91,12.002,9.682,37.32,28054
Carbon Steel,101.6,2.11,8.998,46.431,39.8,63075
Stainless Steel 304,50.8,3.91,11.954,54.952,68.34,259396
Stainless Steel 316,38.1,2.77,11.982,29.585,65.84,175066
PVC,25.4,1.65,6.0,1.025,18.66,6009
Carbon Steel,203.2,3.96,9.05,173.804,53.64,218208
Carbon Steel,152.4,3.4,8.98,113.066,47.36,144630
PVC,101.6,3.05,5.972,7.895,23.75,21332
Stainless Steel 304,101.6,5.74,2.967,40.621,31.99,189165
Carbon Steel,38.1,2.77,11.957,28.655,48.66,42892
Stainless Steel 304,101.6,3.05,12.014,90.327,70.3,419385
Stainless Steel 316,152.4,2.77,2.97,31.199,32.59,176066
Carbon Steel,254.0,4.78,3.02,88.317,32.84,111115
Carbon Steel,38.1,1.65,6.001,8.913,26.31,15667
Copper,76.2,3.05,11.997,75.041,64.49,912564
Carbon Steel,76.2,2.11,5.963,23.084,30.66,33147
HDPE,50.8,2.77,12.05,4.743,36.64,14967
Galvanized Steel,25.4,2.77,3.006,4.671,17.79,9989
Stainless Steel 316,101.6,2.11,6.023,31.545,41.37,181375
Stainless Steel 304,50.8,1.65,2.999,6.142,21.87,32109
Stainless Steel 316,101.6,3.05,11.991,88.311,71.55,498360
Carbon Steel,76.2,2.11,8.975,34.803,40.76,50229
Carbon Steel,25.4,2.77,9.022,13.712,40.14,23953
Stainless Steel 304,76.2,5.16,12.036,110.369,68.64,508744
HDPE,50.8,3.91,6.04,3.307,21.84,9249
Stainless Steel 304,38.1,3.56,8.956,27.978,50.59,135361
Carbon Steel,152.4,2.77,8.966,92.728,43.81,118625
PVC,152.4,6.35,5.988,24.825,29.27,59643
Carbon Steel,50.8,3.91,8.966,41.007,39.58,56751
Stainless Steel 316,38.1,2.77,6.019,14.686,36.78,87621
HDPE,25.4,1.65,8.998,1.049,26.38,6740
Carbon Steel,76.2,5.16,2.964,26.914,22.44,36752
Carbon Steel,203.2,7.04,9.038,304.354,59.73,376995
Stainless Steel 304,254.0,4.78,8.954,267.989,72.83,1220233
Carbon Steel,50.8,2.77,8.952,28.961,42.55,42118
HDPE,203.2,3.96,5.975,14.315,28.2,30945
Stainless Steel 304,101.6,2.11,3.027,16.036,26.51,76622
PVC,50.8,1.65,5.963,2.102,20.74,7585
Stainless Steel 304,25.4,3.38,2.977,5.542,22.56,29322
Carbon Steel,38.1,2.77,9.005,21.8,38.78,33109
HDPE,25.4,3.38,3.024,0.675,12.9,2946
Stainless Steel 316,50.8,2.77,11.997,39.974,70.94,232998
PVC,101.6,3.05,5.971,7.977,23.11,21732
Stainless Steel 316,25.4,3.38,9.049,16.968,55.37,102867
Stainless Steel 316,25.4,2.77,3.002,4.649,25.61,30127
Carbon Steel,38.1,3.56,3.039,9.179,21.0,15464
Copper,50.8,1.65,6.037,13.759,33.32,170291
PVC,38.1,3.56,5.962,3.213,20.7,10653
Carbon Steel,76.2,2.11,5.966,22.904,29.48,32568
Carbon Steel,76.2,2.11,9.026,35.359,39.89,49245
Copper,25.4,2.77,11.985,20.844,59.74,260969
Stainless Steel 304,76.2,5.16,8.984,82.268,65.29,382634
Stainless Steel 304,38.1,1.65,2.953,4.485,20.47,24058
PVC,304.8,9.53,12.017,150.723,55.81,340953
Stainless Steel 316,25.4,1.65,11.963,11.869,63.35,76612
Copper,38.1,1.65,3.011,4.993,19.25,63500
Copper,101.6,2.11,2.952,17.267,23.17,211859
Carbon Steel,152.4,6.35,2.993,69.32,29.6,89438
Stainless Steel 304,25.4,2.77,6.026,9.478,37.71,50295
Copper,38.1,3.56,12.03,41.37,58.64,507120
Stainless Steel 316,25.4,3.38,3.003,5.611,27.32,35312
Copper,25.4,3.38,11.969,24.884,59.47,310084
Stainless Steel 304,38.1,2.77,6.005,14.851,37.56,73446
Galvanized Steel,25.4,3.38,2.99,5.49,18.3,11814
Carbon Steel,38.1,3.56,9.01,27.366,41.71,40689
Carbon Steel,38.1,2.77,3.038,7.278,16.32,12020
Stainless Steel 304,76.2,5.16,5.954,55.756,45.41,258939
Carbon Steel,76.2,2.11,5.993,23.156,27.0,32866
Carbon Steel,25.4,3.38,2.996,5.458,18.97,10641
Stainless Steel 304,38.1,1.65,12.01,17.888,62.74,91503
Carbon Steel,152.4,3.4,6.033,73.975,34.2,95183
Stainless Steel 316,38.1,3.56,6.036,18.349,38.93,107728
Copper,38.1,1.65,9.045,15.14,43.63,189383
HDPE,50.8,1.65,11.977,2.936,34.14,11498
Stainless Steel 316,101.6,3.05,12.026,91.057,69.6,513007
PVC,50.8,1.65,2.964,1.061,10.55,4180
Carbon Steel,38.1,2.77,6.038,14.469,29.59,22890
Stainless Steel 304,38.1,2.77,5.952,14.512,39.16,72785
Stainless Steel 304,304.8,4.78,9.011,319.439,80.78,1451594
Carbon Steel,101.6,5.74,11.995,164.716,57.75,207953
Copper,152.4,3.4,6.029,87.962,41.33,1063113
PVC,76.2,5.16,5.979,9.725,23.57,25457
PVC,25.4,1.65,3.017,0.512,10.58,2911
Carbon Steel,76.2,5.16,2.996,27.093,26.27,37627
Copper,101.6,5.74,6.005,93.001,44.41,1123264
Stainless Steel 304,152.4,2.77,8.991,94.054,54.74,433061
Galvanized Steel,25.4,2.77,12.041,18.434,52.87,37424
Carbon Steel,76.2,2.11,12.017,45.852,51.76,65215
Carbon Steel,76.2,5.16,11.981,107.684,57.09,140079
Stainless Steel 304,76.2,5.16,11.967,108.379,68.98,500835
Stainless Steel 316,25.4,1.65,5.977,5.907,37.01,39428
Stainless Steel 316,152.4,6.35,3.024,69.486,46.41,390744
HDPE,76.2,2.11,11.972,5.544,35.16,15943
PVC,25.4,3.38,12.019,3.976,34.5,14964
Stainless Steel 316,101.6,3.05,2.962,22.58,30.04,130286
Stainless Steel 304,50.8,1.65,8.962,18.302,50.97,91930
Stainless Steel 304,101.6,2.11,8.972,47.568,52.58,222462
Stainless Steel 304,38.1,1.65,8.962,13.504,45.69,68365
Copper,101.6,5.74,9.022,140.264,56.71,1693323
Copper,25.4,1.65,6.007,6.623,27.73,84249
Stainless Steel 304,101.6,3.05,8.974,67.794,57.76,315273
Stainless Steel 316,50.8,1.65,2.982,6.161,22.69,37568
Carbon Steel,101.6,3.05,9.042,67.621,42.0,88312
Carbon Steel,101.6,5.74,2.985,40.832,26.7,53437
Galvanized Steel,25.4,3.38,11.981,21.708,59.35,42838
Carbon Steel,101.6,2.11,12.029,63.128,56.32,85017
Stainless Steel 304,50.8,2.77,12.041,40.131,67.31,192879
Stainless Steel 304,50.8,1.65,6.027,12.287,37.33,61977
Stainless Steel 316,76.2,3.05,8.975,50.187,57.91,285253
Galvanized Steel,101.6,2.11,5.955,30.582,31.07,51241
Stainless Steel 316,152.4,3.4,2.972,38.287,34.63,216731
PVC,254.0,8.56,2.953,27.376,28.81,64807
Carbon Steel,76.2,2.11,2.966,11.399,18.43,16195
Carbon Steel,203.2,2.77,5.956,80.82,38.73,103308
Stainless Steel 316,101.6,3.05,11.976,91.286,72.7,514141
Copper,203.2,3.96,2.963,65.161,34.12,787603
Stainless Steel 316,203.2,3.96,11.988,236.734,88.5,1318114
Carbon Steel,76.2,5.16,2.977,26.672,25.01,37294
Carbon Steel,101.6,5.74,12.007,163.109,52.94,206007
Carbon Steel,101.6,3.05,2.96,21.737,22.27,29970
Stainless Steel 304,101.6,3.05,12.014,89.01,65.73,412893
Stainless Steel 304,50.8,1.65,6.048,12.275,35.81,61452
Stainless Steel 316,152.4,2.77,3.008,31.238,32.14,177470
Copper,50.8,3.91,6.032,31.237,39.49,382939
PVC,152.4,2.77,8.951,16.213,30.7,40983
Carbon Steel,304.8,4.78,5.963,213.283,46.0,263630
Stainless Steel 304,76.2,2.11,2.951,11.719,23.76,56947
Carbon Steel,50.8,1.65,11.986,23.603,46.72,36530
Carbon Steel,50.8,1.65,3.027,6.002,16.56,11138
Copper,25.4,1.65,2.963,3.218,17.22,41316
Copper,25.4,2.77,5.996,10.643,33.99,134348
Carbon Steel,25.4,2.77,11.993,18.614,51.06,30248
Stainless Steel 304,76.2,5.16,9.047,83.782,52.97,386340
Stainless Steel 316,101.6,3.05,12.013,91.967,76.52,520018
Stainless Steel 304,76.2,5.16,12.029,111.863,76.96,517050
Stainless Steel 304,50.8,1.65,9.044,18.759,47.95,93714
Stainless Steel 316,152.4,3.4,2.972,37.617,35.33,212848
Stainless Steel 316,50.8,1.65,11.956,24.119,66.75,144136
Stainless Steel 304,38.1,3.56,12.04,36.939,67.73,178019
PVC,101.6,3.05,8.993,12.096,27.94,31864
Copper,203.2,7.04,8.955,342.746,68.04,4125645
HDPE,76.2,3.05,9.024,6.043,30.44,15331
HDPE,50.8,1.65,9.039,2.165,25.93,8778
Carbon Steel,38.1,2.77,11.987,28.687,48.41,43374
Carbon Steel,25.4,1.65,6.034,5.78,24.89,11287
PVC,38.1,3.56,3.035,1.625,13.33,4985
Copper,25.4,1.65,3.025,3.404,17.93,43757
Stainless Steel 304,76.2,5.16,3.036,28.201,32.02,131789
Carbon Steel,25.4,3.38,11.99,21.952,51.16,35516
PVC,50.8,3.91,3.018,2.446,15.25,7919
Galvanized Steel,304.8,4.78,5.957,209.165,52.65,323275
PVC,101.6,3.05,8.961,12.019,29.97,31570
Copper,38.1,1.65,11.976,20.4,59.98,255090
PVC,101.6,5.74,5.956,14.473,28.25,35996
Stainless Steel 316,38.1,1.65,12.004,18.052,66.51,111780
Carbon Steel,152.4,6.35,5.97,135.694,45.57,171774
Galvanized Steel,76.2,3.05,2.961,16.303,22.71,29647
Copper,101.6,3.05,8.99,75.003,49.93,909047
Carbon Steel,38.1,3.56,2.969,8.976,19.44,14243
Stainless Steel 316,76.2,3.05,5.97,33.441,41.53,191824
Stainless Steel 316,101.6,3.05,9.024,67.589,58.72,382758
Stainless Steel 304,152.4,3.4,8.985,114.203,56.75,523562
HDPE,50.8,2.77,3.045,1.221,13.51,4786
Carbon Steel,38.1,3.56,6.029,18.152,31.98,28660
Galvanized Steel,38.1,3.56,11.977,35.695,62.43,64413
Carbon Steel,38.1,1.65,9.034,13.461,39.08,23284
Stainless Steel 304,101.6,2.11,2.995,15.663,26.65,75707
PVC,50.8,3.91,8.957,7.18,30.11,21328
HDPE,152.4,3.4,5.99,8.873,25.34,21152
Stainless Steel 304,25.4,1.65,5.986,5.947,32.66,33266
Carbon Steel,76.2,5.16,2.961,27.072,25.19,36859
Stainless Steel 316,50.8,1.65,9.021,18.544,56.37,110738
Stainless Steel 316,38.1,1.65,6.009,9.122,35.81,55680
HDPE,25.4,1.65,6.047,0.698,18.02,4867
Carbon Steel,76.2,5.16,9.036,82.445,43.27,106711
Carbon Steel,76.2,3.05,2.983,16.392,19.06,22956
Stainless Steel 304,50.8,1.65,12.005,24.296,64.5,120211
Galvanized Steel,25.4,2.77,2.997,4.59,19.7,10350
Galvanized Steel,76.2,2.11,3.028,11.574,21.95,21396
Stainless Steel 316,38.1,2.77,12.003,29.951,67.54,176981
Stainless Steel 304,25.4,2.77,9.011,14.158,47.35,72844
Stainless Steel 304,101.6,2.11,9.044,47.148,54.87,222463
Galvanized Steel,38.1,2.77,5.979,14.527,28.27,26117
Galvanized Steel,50.8,3.91,12.039,55.455,57.09,93343
Copper,76.2,5.16,9.013,92.258,54.14,1117065
Stainless Steel 316,254.0,3.4,2.952,63.293,41.98,355494
Stainless Steel 304,25.4,3.38,2.996,5.66,23.9,29634
Carbon Steel,254.0,3.4,8.984,187.287,49.87,234752
HDPE,25.4,1.65,2.955,0.346,9.65,2358
Stainless Steel 304,50.8,2.77,2.998,10.086,23.73,50373
Carbon Steel,38.1,1.65,12.0,17.857,46.33,30505
Galvanized Steel,152.4,6.35,3.007,68.035,35.55,109191
Carbon Steel,101.6,2.11,11.976,60.814,56.44,83316
Stainless Steel 316,254.0,3.4,3.024,65.243,41.48,365828
Stainless Steel 316,101.6,2.11,8.976,48.293,63.55,276348
Stainless Steel 316,25.4,3.38,9.008,17.016,53.34,103369
Carbon Steel,76.2,3.05,8.99,49.689,42.92,67582
PVC,203.2,2.77,12.018,29.898,40.12,73626
